"","bootstrapped_best_policy_name","bootstrapped_best_coef","Is_true","best_policy_accuracy","outcome"
"1","(Info Hubs, Slopes (All), SMS (All))",2.26295549755722,0,0.77,"shot_Measles1"
"2","(Info Hubs, Slopes (All), SMS (All))",1.24426053031624,0,0.77,"shot_Measles1"
"3","(Info Hubs, Slopes (All), SMS (All))",3.88944432894947,0,0.77,"shot_Measles1"
"4","(Info Hubs, Slopes (All), SMS (All))",1.0487033767027,0,0.77,"shot_Measles1"
"5","(Info Hubs, Slopes (All), SMS (All))",3.96282687997385,0,0.77,"shot_Measles1"
"6","(Info Hubs, Slopes (All), SMS (All))",3.14149547296866,0,0.77,"shot_Measles1"
"7","(Info Hubs, Slopes (All), SMS (All))",4.59616110407555,0,0.77,"shot_Measles1"
"8","(Info Hubs, Slopes (All), SMS (All))",3.25648355254547,0,0.77,"shot_Measles1"
"9","(Info Hubs, Slopes (All), SMS (All))",2.83754902869763,0,0.77,"shot_Measles1"
"10","(Info Hubs, Slopes (All), SMS (All))",0.461301347088329,0,0.77,"shot_Measles1"
"11","(Info Hubs, Slopes (All), SMS (All))",3.52161300610539,0,0.77,"shot_Measles1"
"12","(Info Hubs, Slopes (All), SMS (All))",3.51180934242961,0,0.77,"shot_Measles1"
"13","(Info Hubs, Slopes (All), SMS (All))",3.70475469408446,0,0.77,"shot_Measles1"
"14","(Info Hubs, Slopes (All), SMS (All))",4.47019368474165,0,0.77,"shot_Measles1"
"15","(Info Hubs, Slopes (All), SMS (All))",3.82271890136133,0,0.77,"shot_Measles1"
"16","(Info Hubs, Slopes (All), SMS (All))",1.02997743816977,0,0.77,"shot_Measles1"
"17","(Info Hubs, Slopes (All), SMS (All))",3.1248104538654,0,0.77,"shot_Measles1"
"18","(Info Hubs, Slopes (All), SMS (All))",4.7486791665956,0,0.77,"shot_Measles1"
"19","(Trusted Seeds, High Slope, SMS (All))",-0.105737982049145,0,0.77,"shot_Measles1"
"20","(Info Hubs, Slopes (All), SMS (All))",3.52165949138074,0,0.77,"shot_Measles1"
"21","(Info Hubs, Slopes (All), SMS (All))",3.01464917346142,0,0.77,"shot_Measles1"
"22","(Info Hubs, Slopes (All), SMS (All))",4.71253647082642,0,0.77,"shot_Measles1"
"23","(Info Hubs, Slopes (All), SMS (All))",2.65179869670322,0,0.77,"shot_Measles1"
"24","(Info Hubs, Slopes (All), SMS (All))",4.8273757214481,0,0.77,"shot_Measles1"
"25","(Info Hubs, Slopes (All), SMS (All))",3.83714648937354,0,0.77,"shot_Measles1"
"26","(Info Hubs, Slopes (All), SMS (All))",4.64309354200935,0,0.77,"shot_Measles1"
"27","(No Seeds, High Slopes, SMS (All))",-1.71958797123664,0,0.77,"shot_Measles1"
